業務区分コード,業務区分名,典型的業務内容,備考（経営視点）
01,顧問：月次（記帳・月次監査）,月次チェック・試算表・会計レビュー・資料回収,定常・採算管理の基礎
02,顧問：四半期・中間,四半期レビュー・消費税中間等の準備,繁忙期前兆
03,決算・申告（法人）,決算整理・別表・申告書・電子申告・添付書面,工数膨張しやすい
04,税務相談（法人）,節税/資金繰り/組織再編前相談・税務判断,価値業務（C水準対象）
05,消費税（特有論点）,課税区分・簡易/本則・インボイス対応等,ミス＝重大事故
06,年末調整,扶養控除等・源泉・給与ソフト連携・提出,短期集中型
07,法定調書・給与支払報告,法定調書合計表・支払調書・給与支払報告書,年末業務ピーク
08,個人確定申告,所得税・消費税（個人）・青色決算書等,工数ばらつき大
09,相続税申告,財産評価・特例判定・申告書・添付・面談,最重要C水準
10,相続手続支援（税務外含む）,戸籍・残高・名寄せ・遺産分割補助・文書整理,税務外工数可視化
11,贈与税,暦年・相続時精算・申告書・評価,単発・判断要
12,譲渡所得（不動産・株式）,取得費確認・特例・申告書,取得費確認が鍵
13,税務調査対応,事前準備・立会い・指摘対応・修正申告等,高リスク案件
14,顧客対応（定常）,電話/メール・面談調整・資料督促（案件横断）,詰まり分析に必須
15,内部：教育・育成,OJT・レビュー指導・研修・マニュアル作成,人材KPI
16,内部：業務改善・DX,テンプレ整備・Kintone/ツール改善・標準化,将来投資
17,内部：品質管理,チェックリスト・差戻し分析・内部監査的活動,事故予防
18,内部：営業・広報,相談対応・提案書・LP・セミナー準備など,売上先行指標
